symbol,sector,index
MMM,Industrials,SP500
AOS,Industrials,SP500
ABT,Health Care,SP500
ABBV,Health Care,SP500
ACN,Information Technology,SP500
ADBE,Information Technology,SP500
AMD,Information Technology,SP500
AES,Utilities,SP500
AFL,Financials,SP500
A,Health Care,SP500
APD,Materials,SP500
ABNB,Consumer Discretionary,SP500
AKAM,Information Technology,SP500
ALB,Materials,SP500
ARE,Real Estate,SP500
ALGN,Health Care,SP500
ALLE,Industrials,SP500
LNT,Utilities,SP500
ALL,Financials,SP500
GOOGL,Communication Services,SP500
GOOG,Communication Services,SP500
MO,Consumer Staples,SP500
AMZN,Consumer Discretionary,SP500
AMCR,Materials,SP500
AEE,Utilities,SP500
AEP,Utilities,SP500
AXP,Financials,SP500
AIG,Financials,SP500
AMT,Real Estate,SP500
AWK,Utilities,SP500
AMP,Financials,SP500
AME,Industrials,SP500
AMGN,Health Care,SP500
APH,Information Technology,SP500
ADI,Information Technology,SP500
AON,Financials,SP500
APA,Energy,SP500
APO,Financials,SP500
AAPL,Information Technology,SP500
AMAT,Information Technology,SP500
APP,Information Technology,SP500
APTV,Consumer Discretionary,SP500
ACGL,Financials,SP500
ADM,Consumer Staples,SP500
ARES,Financials,SP500
ANET,Information Technology,SP500
AJG,Financials,SP500
AIZ,Financials,SP500
T,Communication Services,SP500
ATO,Utilities,SP500
ADSK,Information Technology,SP500
ADP,Industrials,SP500
AZO,Consumer Discretionary,SP500
AVB,Real Estate,SP500
AVY,Materials,SP500
AXON,Industrials,SP500
BKR,Energy,SP500
BALL,Materials,SP500
BAC,Financials,SP500
BAX,Health Care,SP500
BDX,Health Care,SP500
BRK-B,Financials,SP500
BBY,Consumer Discretionary,SP500
TECH,Health Care,SP500
BIIB,Health Care,SP500
BLK,Financials,SP500
BX,Financials,SP500
XYZ,Financials,SP500
BNY,Financials,SP500
BA,Industrials,SP500
BKNG,Consumer Discretionary,SP500
BSX,Health Care,SP500
BMY,Health Care,SP500
AVGO,Information Technology,SP500
BR,Industrials,SP500
BRO,Financials,SP500
BF-B,Consumer Staples,SP500
BLDR,Industrials,SP500
BG,Consumer Staples,SP500
BXP,Real Estate,SP500
CHRW,Industrials,SP500
CDNS,Information Technology,SP500
CPT,Real Estate,SP500
COF,Financials,SP500
CAH,Health Care,SP500
CCL,Consumer Discretionary,SP500
CARR,Industrials,SP500
CVNA,Consumer Discretionary,SP500
CASY,Consumer Staples,SP500
CAT,Industrials,SP500
CBOE,Financials,SP500
CBRE,Real Estate,SP500
CDW,Information Technology,SP500
COR,Health Care,SP500
CNC,Health Care,SP500
CNP,Utilities,SP500
CF,Materials,SP500
CRL,Health Care,SP500
SCHW,Financials,SP500
CHTR,Communication Services,SP500
CVX,Energy,SP500
CMG,Consumer Discretionary,SP500
CB,Financials,SP500
CHD,Consumer Staples,SP500
CIEN,Information Technology,SP500
CI,Health Care,SP500
CINF,Financials,SP500
CTAS,Industrials,SP500
CSCO,Information Technology,SP500
C,Financials,SP500
CFG,Financials,SP500
CLX,Consumer Staples,SP500
CME,Financials,SP500
CMS,Utilities,SP500
KO,Consumer Staples,SP500
CTSH,Information Technology,SP500
COHR,Information Technology,SP500
COIN,Financials,SP500
CL,Consumer Staples,SP500
CMCSA,Communication Services,SP500
FIX,Industrials,SP500
CAG,Consumer Staples,SP500
COP,Energy,SP500
ED,Utilities,SP500
STZ,Consumer Staples,SP500
CEG,Utilities,SP500
COO,Health Care,SP500
CPRT,Industrials,SP500
GLW,Information Technology,SP500
CPAY,Financials,SP500
CTVA,Materials,SP500
CSGP,Real Estate,SP500
COST,Consumer Staples,SP500
CRH,Materials,SP500
CRWD,Information Technology,SP500
CCI,Real Estate,SP500
CSX,Industrials,SP500
CMI,Industrials,SP500
CVS,Health Care,SP500
DHR,Health Care,SP500
DRI,Consumer Discretionary,SP500
DDOG,Information Technology,SP500
DVA,Health Care,SP500
DECK,Consumer Discretionary,SP500
DE,Industrials,SP500
DELL,Information Technology,SP500
DAL,Industrials,SP500
DVN,Energy,SP500
DXCM,Health Care,SP500
FANG,Energy,SP500
DLR,Real Estate,SP500
DG,Consumer Staples,SP500
DLTR,Consumer Staples,SP500
D,Utilities,SP500
DPZ,Consumer Discretionary,SP500
DASH,Consumer Discretionary,SP500
DOV,Industrials,SP500
DOW,Materials,SP500
DHI,Consumer Discretionary,SP500
DTE,Utilities,SP500
DUK,Utilities,SP500
DD,Materials,SP500
ETN,Industrials,SP500
EBAY,Consumer Discretionary,SP500
SATS,Communication Services,SP500
ECL,Materials,SP500
EIX,Utilities,SP500
EW,Health Care,SP500
EA,Communication Services,SP500
ELV,Health Care,SP500
EME,Industrials,SP500
EMR,Industrials,SP500
ETR,Utilities,SP500
EOG,Energy,SP500
EQT,Energy,SP500
EFX,Industrials,SP500
EQIX,Real Estate,SP500
EQR,Real Estate,SP500
ERIE,Financials,SP500
ESS,Real Estate,SP500
EL,Consumer Staples,SP500
EG,Financials,SP500
EVRG,Utilities,SP500
ES,Utilities,SP500
EXC,Utilities,SP500
EXE,Energy,SP500
EXPE,Consumer Discretionary,SP500
EXPD,Industrials,SP500
EXR,Real Estate,SP500
XOM,Energy,SP500
FFIV,Information Technology,SP500
FDS,Financials,SP500
FICO,Information Technology,SP500
FAST,Industrials,SP500
FRT,Real Estate,SP500
FDX,Industrials,SP500
FDXF,Industrials,SP500
FIS,Financials,SP500
FITB,Financials,SP500
FSLR,Information Technology,SP500
FE,Utilities,SP500
FISV,Financials,SP500
FLEX,Information Technology,SP500
F,Consumer Discretionary,SP500
FTNT,Information Technology,SP500
FTV,Industrials,SP500
FOXA,Communication Services,SP500
FOX,Communication Services,SP500
BEN,Financials,SP500
FCX,Materials,SP500
GRMN,Consumer Discretionary,SP500
IT,Information Technology,SP500
GE,Industrials,SP500
GEHC,Health Care,SP500
GEV,Industrials,SP500
GEN,Information Technology,SP500
